Code,Mum,Dad
VIO97,CLA85,JOW89
BAC98,PTN93,SLT86
BNN98,OAT94,FUL90
BNX98,FUL89,SCI87
BRG98,MUR85,D0557
BUT98,BCL93,TURKS
CEE98,BUS92,D0549
CLT98,CCO87,BCL90
COO98,ANK91,FUL90
CSK98,ANK89,SLT86
DIC98,HIC84,SLT86
DOC98,HIC88,TYS89
FEA98,PLO82,EGR88
FIJ98,ALD95,AST91
FLG98,ANK90,LIZ89
FOP98,DAN90,LIZ89
FRA98,PEN90,SCI87
FRO98,BIL84,BASIL
GOD98,AVO90,BASIL
GRA98,FAN90,TURKS
HIR98,FUL93,TYS89
HRM98,INI86,OAT89
IVO98,EBO90,TEAKS
IVY98,ILE87,FUL90
LMS98,GOD94,JOW89
LPW98,FEA87,SCI87
MAL98,SME84,INI85
MAT98,Mar-89,SCI87
MDL98,FAN93,RHINO
MEG98,Mar-95,DUN89
MLN98,BEE93,NA
MRN98,ALB94,BASIL
MRY98,Mar-93,FLA90
NET98,DOC94,TYS89
OCH98,SAF80,TURKS
ORC98,CRO90,TEAKS
PHL98,PID89,TYS89
PNT98,MOO94,TWE89
PTL98,MNX89,EGR88
RAP98,THU94,WOD90
ROM98,TIN95,JOW89
SCA98,LOB86,AST91
SLO98,GIN93,BASIL
STI98,AVO89,SCOWL
STO98,WHA89,BASIL
SUT98,TWE93,WIRES
SWA98,SWI88,INI85
SYC98,PET87,SUR86
TAA98,ALB93,SCI87
TNY98,TIT84,INI85
TRI98,FEA94,AST91
TRT98,OCH90,TURKS
WHZ98,CGH94,PEREG
WOD98,CAP84,BASIL
ZAN98,ALD91,PEREG
ZUC98,CUC91,TURKS
ALD99,SUR87,SAF88
APH99,THO86,CCO93
ART99,ARI96,HRM90
BAC99,PTN93,PTL93
BIE99,CFI94,JUG90
BNN99,OAT94,EGR88
BNX99,FUL89,SCI87
CEL99,AST90,JOW89
CGH99,WHA87,BASIL
CPS99,PEP93,ALC91
CSK99,ANK89,SLT86
DIC99,HIC84,TYS89
DOC99,HIC88,SLT86
FDL99,VIO89,BASIL
FOP99,DAN90,CSK93
FOU99,SUL90,SCI87
FRT99,BUT96,ATH91
GAN99,SUL94,EGR88
GOD99,AVO90,BASIL
GRA99,FAN90,BASIL
HAL99,TUR83,TNY93
HON99,SUN93,TURKS
HRM99,INI86,BASIL
IVO99,EBO90,BASIL
IVY99,ILE87,SLT86
JEE99,HAL90,EGR93
KLD99,BNX94,SCI87
LAR99,KIT95,SCI87
LMS99,GOD94,HER91
LPW99,FEA87,EGR88
MDL99,FAN93,D0549
MEG99,Mar-95,KIERA
